일자 ,재난유형,대상지역,송출내용,전송시간
2020-02-21,감염병 발생,부산진구,[부산진구청] 오늘 부산 코로나19 확진자 발생. 예방수칙을 준수하시고 다중밀집시설 이용 등 야외활동을 줄여 주시기 바랍니다.,2020-02-21 22:12
2020-02-21,감염병 발생,"부산광역시,중구,서구,동구,영도구,부산진구,동래구,남구,북구,해운대구,사하구,금정구,강서구,연제구,수영구,사상구,기장군","[부산광역시] 코로나19 확진자가 부산에서 발생하였습니다. 도시철도, 버스, 택시 등 대중교통 이용 시 반드시 마스크를 착용하여 주시기 바랍니다.",2020-02-21 22:43
2020-02-21,감염병 발생,중구,"[부산중구청] 부산 코로나19 확진자 발생,외출시 마스크 착용, 손씻기 등 예방수칙을 지켜 주시기 바랍니다.",2020-02-21 22:50
2020-02-22,감염병 발생,"부산광역시,중구,서구,동구,영도구,부산진구,동래구,남구,북구,해운대구,사하구,금정구,강서구,연제구,수영구,사상구,기장군","[부산시] 동래구 확진환자 동선(2월18일) 11시 전자공고(운동장) ,16시20분 복산동 주민센터, 17시 동래구청 복지정책과,17시40분 명륜역 인근 대현마트",2020-02-22 8:24
2020-02-22,감염병 발생,"부산광역시,중구,서구,동구,영도구,부산진구,동래구,남구,북구,해운대구,사하구,금정구,강서구,연제구,수영구,사상구,기장군",[부산시]해운대구 확진자 동선(2월18일) 집>수서역SRT(14시~17시)>부산역(택시)>집,2020-02-22 8:30
2020-02-22,감염병 발생,"부산광역시,중구,서구,동구,영도구,부산진구,동래구,남구,북구,해운대구,사하구,금정구,강서구,연제구,수영구,사상구,기장군","[부산시] 동래구확진자 동선(2월19일) 집 (마을버스 6번) > 온천교회 10:00~13:00(마을버스6번), (마을버스 6번) 온천교회 18:30~21:00",2020-02-22 8:33
2020-02-22,감염병 발생,"부산광역시,중구,서구,동구,영도구,부산진구,동래구,남구,북구,해운대구,사하구,금정구,강서구,연제구,수영구,사상구,기장군",[부산시]해운대구 확진자 동선(2월19일) 집>10시:장산성당>11시:반여동 장산명가>13시:해운대구 자연드림>집,2020-02-22 8:33
2020-02-22,감염병 발생,"부산광역시,중구,서구,동구,영도구,부산진구,동래구,남구,북구,해운대구,사하구,금정구,강서구,연제구,수영구,사상구,기장군",[부산시] 동래구 확진환자 동선(2월 20일) 집 (버스49번) > 광안리 피자몰 13:40~15:00 > 도보 > GS편의점 동래꿈에그린점 18:30 > 집,2020-02-22 8:35
2020-02-22,감염병 발생,"부산광역시,중구,서구,동구,영도구,부산진구,동래구,남구,북구,해운대구,사하구,금정구,강서구,연제구,수영구,사상구,기장군",[부산시]해운대구 확진자 동선(2월20일) 10시:센텀내과의원>11시:온누리친절약국>11시30분:센텀내과의원>집,2020-02-22 8:36
2020-02-22,감염병 발생,"부산광역시,중구,서구,동구,영도구,부산진구,동래구,남구,북구,해운대구,사하구,금정구,강서구,연제구,수영구,사상구,기장군","[부산시] 동래구확진자(2월 21일) 대동병원 9:10, 메가마트 10:55, 얼쑤대박터지는집 동래점 18:05, 동래구 보건소 20:30, 부산의료원 이송",2020-02-22 8:39
2020-02-22,감염병 발생,"부산광역시,중구,서구,동구,영도구,부산진구,동래구,남구,북구,해운대구,사하구,금정구,강서구,연제구,수영구,사상구,기장군","[부산시]해운대구 확진자 동선(2월21일) 11시:해운대백병원선별진료소(가정의학과, 선별진료소 검사시행, 자차이용)>집(자차이용)",2020-02-22 8:39
2020-02-22,감염병 발생,"부산광역시,중구,서구,동구,영도구,부산진구,동래구,남구,북구,해운대구,사하구,금정구,강서구,연제구,수영구,사상구,기장군",[부산시] 동래구와 해운대구 확진자 동선과 관련하여 접촉이 의심되는 분은 1339 또는 관할 보건소로 문의바랍니다.,2020-02-22 8:43
2020-02-22,감염병 발생,"부산광역시,중구,서구,동구,영도구,부산진구,동래구,남구,북구,해운대구,사하구,금정구,강서구,연제구,수영구,사상구,기장군",[부산시] 코로나19 해운대구 확진자 2월20일 동선중 '온누리친절약국'을 '원온누리약국'으로 수정합니다. 기타 수정사항은 부산시 홈페이지 참고하시기 바랍니다.,2020-02-22 10:30
2020-02-22,감염병 발생,해운대구,[해운대구청]코로나19 확진자 동선(2월 18일)집>수서역SRT(14시~17시)>부산역(택시)>집,2020-02-22 11:14
2020-02-22,감염병 발생,해운대구,[해운대구청] 코로나19 확진자 동선(2월19일)집>10시:장산성당>11시:반여동 장산명가>13시: 해운대구 자연드림>집,2020-02-22 11:17
2020-02-22,감염병 발생,해운대구,[해운대구청]코로나19 확진자 동선(2월20일)집>10시:센텀내과의원>11시:원온누리약국>11시 30분:센텀내과의원>집,2020-02-22 11:24
2020-02-22,감염병 발생,해운대구,"[해운대구청]코로나19 확진자 동선(2월 21일)11시: 해운대백병원선별진료소(가정의학과, 선별진료소 검사시행, 자차이용)>집(자차이용)",2020-02-22 11:29
2020-02-22,감염병 발생,동래구,"[동래구청]2월18일(화) 13:00 대성탕->15:10 동래밀면본점, 2월21일(금) 10:46 가까운약국(명륜동)",2020-02-22 11:34
2020-02-22,감염병 발생,해운대구,[해운대구청] 코로나19 확진자 동선(2월19일)집>10시:장산성당>11시:반여동 장산명가>13시:자연드림 부산 반여점>집,2020-02-22 11:37
2020-02-22,감염병 발생,해운대구,[해운대구청] 코로나19 확진자 동선과 관련하여 접촉이 의심되는 분은 1399 또는 보건소로 문의바랍니다.051-746-4000,2020-02-22 11:41
2020-02-22,감염병 발생,"부산광역시,중구,서구,동구,영도구,부산진구,동래구,남구,북구,해운대구,사하구,금정구,강서구,연제구,수영구,사상구,기장군",[부산시]동래구 확진자 2월21일 동선중 '대동병원'을 '대동병원 선별진료소'로 수정합니다. 현재 대동병원 정상진료중. 기타 수정사항 부산시 홈페이지 참고.,2020-02-22 11:43
2020-02-22,감염병 발생,기장군,"[기장군청] 중국이나 코로나19 발생지역 방문후 고열, 기침 등 의심증상이 있으신분은 다른사람과 접촉금지 및 기장군보건소 709-4812,4823로 문의바랍니다.",2020-02-22 13:10
2020-02-22,감염병 발생,기장군,[기장군청] 병원 이동시에는 가급적 자가용으로 혼자 이동하시고 불가피할 경우 대중교통 이용을 하지마시고 119 혹은 보건소 긴급차량을 이용하시기 바랍니다.,2020-02-22 13:11
2020-02-22,감염병 발생,기장군,[기장군청] 의심증상이 있을 경우 기장군보건소 선별진료소 및 동남권원자력의학원 선별진료소를 방문하시고 일반병원 이용은 불가합니다.,2020-02-22 13:37
2020-02-23,감염병 발생,해운대구,[해운대구청][2월21일] 부산-3집>부산시교육청 13:40 >(택시) 슈가스팟 (수영구) 15:00 > (택시) 한서병원 선별 진료소 17:40 > (택시)집,2020-02-23 9:46
2020-02-23,감염병 발생,해운대구,[해운대구청] [2월 22일] 부산-3집 > (보건소 구급차) 부산대학교병원 이송 13:00,2020-02-23 9:48
2020-02-23,감염병 발생,해운대구,[해운대구청][2월 18일] 부산-4동대구터미널 출발 19:10 > 해운대구 터미널 시외버스 이용 도착 20:40,2020-02-23 9:57
2020-02-23,감염병 발생,해운대구,[해운대구청][2월 18일] 부산-4(자가용)신선지국밥(송정)21:00~22:00 >(자가용)베스킨라빈스(좌동로104) 22:20 ~22:30 >(자가용)집,2020-02-23 10:01
2020-02-23,감염병 발생,해운대구,[해운대구청][2월 19일] 부산-4집 > (도보) 경남선경CU편의점 14:05 > 집 14:15 > (도보) 경남선경자이마트 20:05 > 집,2020-02-23 10:03
2020-02-23,감염병 발생,해운대구,[해운대구청] [2월 21일] 부산-4집 > (자가용) 해운대보건소 선별진료소 17:45 > 집,2020-02-23 10:05
2020-02-23,감염병 발생,해운대구,[해운대구청][2월 22일] 부산-4집 > (보건소 구급차) 부산대학교병원 이송 18:45,2020-02-23 10:08
2020-02-23,감염병 발생,금정구,"[금정구청] 금일 금정구 코로나19 확진자 1명 발생.예방수칙 준수, 다중밀집지역 방문 자제감염증 의심시 1339, 선별진료소 방문요망금정구 재난안전대책본부",2020-02-23 10:08
2020-02-23,감염병 발생,금정구,[금정구청] 코로나19 확진자 동선은 확인되는 즉시 알려드리겠습니다.의심증상이 있으신분은 1339 또는 금정보건소(051-519-5051)문의바랍니다.,2020-02-23 10:15
2020-02-23,감염병 발생,해운대구,[해운대구청][2월 19일] 부산-5집> (도보)청산곱창(해운대구 선수촌로 86-10)18:30> (도보)스타벅스수영강변점 20:30,2020-02-23 10:16
2020-02-23,감염병 발생,해운대구,"[해운대구청][2월 19일] 부산-5> 편의점 2곳(반여선수촌 세븐일레븐, CU 반여선수촌점 22:50~23:30) >집",2020-02-23 10:19
2020-02-23,감염병 발생,해운대구,[해운대구청] [2월 21일] 부산-5집 > (자가용) 19:40 해운대구 보건소 선별진료소 > (자가용) 집,2020-02-23 10:20
2020-02-23,감염병 발생,해운대구,[해운대구청][2월 22일] 부산-5집 > (보건소 구급차) 부산의료원 이송 10:00,2020-02-23 10:21
2020-02-23,감염병 발생,"부산광역시,중구,서구,동구,영도구,부산진구,동래구,남구,북구,해운대구,사하구,금정구,강서구,연제구,수영구,사상구,기장군",[부산광역시]코로나19 부산시 추가 확진자 동선을 부산시 홈페이지 및 공식SNS에 게시하였습니다. 접촉이 의심되는 분은 1339 또는 관할보건소로 문의 바랍니다.,2020-02-23 10:25
2020-02-23,감염병 발생,해운대구,"[해운대구청]코로나 19 해운대구 확진자 3명(부산-3, 부산-4, 부산5)동선에 따라 접촉이 의심되는 분은 1339 또는 051-746-4000 문의바랍니다.",2020-02-23 10:26
2020-02-23,감염병 발생,해운대구,"[해운대구청]코로나19관련 2.18.(화) 동대구터미널19:10 출발, 20:40 해운대 시외버스터미널 도착 차량이용 승객은 051-746-4000 문의바랍니다.",2020-02-23 10:33
2020-02-23,감염병 발생,동래구,"[동래구청] 동래구 코로나19 추가확진자 발생, 동선은 파악중입니다. 외출자제 및 개인위생에 철저히 해주시고, 의심증상이 있으신분은 1339로 문의바랍니다.",2020-02-23 10:50
2020-02-23,감염병 발생,금정구,[금정구청] 금정구 코로나19 확진자 동선은 파악중입니다.외출자제 및 개인위생 관리에 철저히 해주시고 의심증상 발생시 1339로 문의바랍니다.,2020-02-23 11:01
2020-02-23,감염병 발생,기장군,"[기장군청] 코로나19 예방수칙 준수. 다중이용시설 방문자제. 감염증 의심시 1339 또는 보건소 709-4812, 4823 상담후 선별진료소 방문 바랍니다.",2020-02-23 11:59
2020-02-23,감염병 발생,기장군,[기장군청] 기장군보건소 및 동남권원자력의학원 선별진료소 방문 시 대중교통 이용 금지. 자가용 및 119·보건소 긴급차량 이용 바랍니다.,2020-02-23 12:00
2020-02-23,감염병 발생,연제구,"[연제구청] 연제구 코로나 19 확진자 1명 발생, 확진자의 구체적인 동선은 현재 파악 중입니다.",2020-02-23 12:11
2020-02-23,감염병 발생,연제구,"[연제구청] 외출 자제 및 개인위생 관리를 철저히 해주시고, 의심증상 발생시 1339 또는 관할 보건소로 문의하여 주시기 바랍니다.",2020-02-23 12:11
2020-02-23,감염병 발생,연제구,[연제구청] 보건소 방문이 필요할 때는 꼭 전화로 사전 예약을 부탁드립니다.(051-665-5681~4),2020-02-23 12:12
2020-02-23,감염병 발생,북구,"[북구청]북구 코로나19 확진자 발생, 동선은 파악중입니다. 외출자제 및 개인위생에 철저히 해주시고, 의심증상이 있으신분은 1339 또는 보건소로 문의바랍니다.",2020-02-23 12:21
2020-02-23,감염병 발생,남구,"[남구청]남구 코로나19 확진자 발생, 구체적 동선 파악중, 외출자제 및 개인위생 철저, 의심증상 발생시 1339 및 보건소(051-607-3471)문의바랍니다.",2020-02-23 13:08
2020-02-23,감염병 발생,서구,"[부산 서구청] 코로나19 확진자 발생, 구체적 동선 파악중, 외출자제 및 개인위생 철저, 의심증상 발생시 1339 및 보건소(242-4000)문의 바랍니다.",2020-02-23 14:14
2020-02-23,감염병 발생,금정구,[금정구청] 금정구 확진자 동선[2.19.] 자택>온천장지하철역(07:24)>부산역지하철역>43번버스>메리놀병원(08:15)>중앙지하철역(17:45)>자택,2020-02-23 14:21
2020-02-23,감염병 발생,금정구,[금정구청][2.20.]자택>온천장지하철역(07:25)>부산역지하철역>43번버스>메리놀병원>중앙지하철역>명륜역>온천교회(18:05)>목화기사식당>자택,2020-02-23 14:21
2020-02-23,감염병 발생,금정구,[금정구청][2.21.]자택>온천장지하철역(07:30)>부산역지하철역>43번버스>메리놀병원>43번버스(17:13)>부산역지하철역(17:21)>온천장지하철역>자택,2020-02-23 14:21
2020-02-23,감염병 발생,금정구,[금정구청][2.22.]자택>동래구보건소(11:30~13:00)>(도보)자택,2020-02-23 14:22
2020-02-23,감염병 발생,금정구,[금정구청] 확진자 이동경로 [2.23.] 자택>금정구 보건소 차량이송>부산의료원(13:30),2020-02-23 14:44
2020-02-23,감염병 발생,"부산광역시,중구,서구,동구,영도구,부산진구,동래구,남구,북구,해운대구,사하구,금정구,강서구,연제구,수영구,사상구,기장군",[부산광역시]부산시 전체 어린이집 휴원(2.24~29) 알려드립니다. 필요시 긴급보육 가능하며 해당 어린이집 또는 구군 보육부서로 문의바랍니다. 888-1575,2020-02-23 17:11
2020-02-23,감염병 발생,"부산광역시,중구,서구,동구,영도구,부산진구,동래구,남구,북구,해운대구,사하구,금정구,강서구,연제구,수영구,사상구,기장군",[부산광역시] 부산시 전체 공공도서관(42개관) 휴관함을 알려드립니다. (2.23~미정) 자세한 사항은 개별도서관으로 문의바랍니다. 051-888-2021,2020-02-23 18:42
2020-02-23,감염병 발생,"부산광역시,중구,서구,동구,영도구,부산진구,동래구,남구,북구,해운대구,사하구,금정구,강서구,연제구,수영구,사상구,기장군","[부산교육청] 모든 유초중고특수학교 개학을 3.2. 에서 3.9. 로 연기, 자녀돌봄이 필요한 가정을 위해 유치원초등학교 긴급돌봄은 운영. 051-860-0119",2020-02-23 19:16
2020-02-23,감염병 발생,기장군,"[기장군청] 기장군소재 전체 도서관, 아파트 및 마을작은도서관, 경로당, 무료급식소, 수영장, 노인복지관, 종합사회복지관, 문화예절학교, 청소년수련관,",2020-02-23 20:11
2020-02-23,감염병 발생,기장군,"[기장군청] 청소년상담복지센터, 거점영어센터, 지역아동센터가 2.21부터 폐관 및 휴관 되었음을 알려드립니다.",2020-02-23 20:11
2020-02-23,감염병 발생,기장군,[기장군청] 기장군 전체 어린이집 휴원(2.24~29) 알려드립니다. 필요시 긴급보육 가능하며 해당 어린이집 또는 기장군 709-4642로 문의 바랍니다.,2020-02-23 20:12
2020-02-23,감염병 발생,동래구,[동래구]동래구 확진자(부산8)동선(2.19.)12:45 터줏집(장전상가아파트)-13:24 스타벅스 부산대점-15:30~21:40 온천교회,2020-02-23 22:31
2020-02-23,감염병 발생,동래구,"[동래구]동래구 확진자(부산8)동선(2.20.)12:04 80번시내버스-13:08시골통돼지볶음(부산대)-14:01화장품가게(롭스, 부산대2호점)",2020-02-23 22:32
2020-02-23,감염병 발생,동래구,[동래구]동래구 확진자(부산8)동선(2.20.)-14:20투루바도르(부산대)-14:54이솝페이블(부산대학교),2020-02-23 22:32
2020-02-23,감염병 발생,동래구,[동래구]동래구 확진자(부산8)동선(2.20.)-17:25동래봄산부인과(온천동)-18:46명가김밥(온천동),2020-02-23 22:32
2020-02-23,감염병 발생,동래구,"[동래구]동래구 확진자(부산9)동선(2.20.)08:40~09:05 OX pc방, 명륜역 신화타워 맞은 편",2020-02-23 22:33
2020-02-23,감염병 발생,동래구,[동래구]동래구 확진자(부산9)동선(2.21.)09:05~13시 온천교회-19:35~22:10온천교회,2020-02-23 22:33
2020-02-23,감염병 발생,동래구,[동래구]동래구 확진자(부산9)동선(2.21.) 22:15동심가마트(온천2동)- (2.22.)09:10동래구보건소 선별진료소,2020-02-23 22:33
2020-02-24,감염병 발생,북구,"[북구청]확진자(부산11)동선(2.16)12:30온천교회(2.17)13:50-맛나감자탕(금정),15:00-이솝페이블(금정),16:32-17:43자라(금정)-귀가",2020-02-24 9:15
2020-02-24,감염병 발생,북구,"[북구청]확진자(부산11)동선(2.18)15:45-16:40부산개금백병원,18:30-19:00우리마트(만덕동)19:01-20:00하동돌솥밥(만덕동)20:15귀가",2020-02-24 9:16
2020-02-24,감염병 발생,북구,"[북구청]확진자(부산11)동선(2.19-20)16:30-18:00옵포드(서면),18:00-19:15샤오시안(서면),19:40-23:00온천교회~",2020-02-24 9:17
2020-02-24,감염병 발생,북구,"[북구청]23:30-01:00기승전골(서면),01:05-03:00훈혁(서면),귀가17:30-18:30구포국수(덕천),18:40-21:00NF커피(덕천),귀가",2020-02-24 9:17
2020-02-24,감염병 발생,북구,"[북구청]확진자(부산11)동선(2.21)09:30온천교회,13:30집(덕천동)16:55-18:00커피요정,18:05-20:00부잣집,20:05-21:00공차",2020-02-24 9:18
2020-02-24,감염병 발생,북구,"[북구청]확진자(부산11)동선(2.22)11:15-14:40북구보건소,13:00-10:50집,부산의료원이송",2020-02-24 9:18
2020-02-24,감염병 발생,북구,[부산북구청]확진자 동선에 대한 방역소독 및 폐쇄조치 등 구민안전에 최선을 다하겠습니다. 동선지역 방문 자제 및 예방수칙을 준수하여 주시기 바랍니다.,2020-02-24 9:19
2020-02-24,감염병 발생,동래구,[동래구]동래구 확진자(부산10)동선(2.18.)8:21 동래역-부산역(지하철),2020-02-24 9:23
2020-02-24,감염병 발생,동래구,[동래구]동래구 확진자(부산10)동선(2.18.)09:05KTX120 1호차12B⇒11:10SRT(오송),2020-02-24 9:23
2020-02-24,감염병 발생,동래구,[동래구]동래구 확진자(부산10)동선(2.18.)12:35광주버스2번-13시 미풍해장국나주혁신점,2020-02-24 9:25
2020-02-24,감염병 발생,동래구,[동래구]동래구 확진자(부산10)동선(2.18.)13:40한국인터넷진흥원-15:29광주버스2번,2020-02-24 9:26
2020-02-24,감염병 발생,동래구,[동래구]동래확진자(부산10)동선(2.18.)15:45메카MGC광주수정점-16:30SRT616,2020-02-24 9:26
2020-02-24,감염병 발생,동래구,[동래구]동래확진자(부산10)동선(2.18.)17:45~19:42 KTX149 5호차 7차,2020-02-24 9:26
2020-02-24,감염병 발생,동래구,[동래구]동래확진자(부산10)동선(2.18.)20:00밀양돼지국밥(부산역)-20:24도시철도(부산역-동래역),2020-02-24 9:27
2020-02-24,감염병 발생,동래구,[동래구]동래확진자(부산10)동선(2.19.)9:53 307번버스(광혜병원⇒센텀중학교⇒센텀스카이비즈),2020-02-24 9:27
2020-02-24,감염병 발생,동래구,[동래구]동래확진자(부산10)동선(2.19.)18:44 31번버스(동해선센텀역⇒동래역⇒내성교차로⇒온천교회),2020-02-24 9:28
2020-02-24,감염병 발생,동래구,[동래구]동래확진자(부산10)동선(2.20.)9:55 307번버스(광혜병원-센텀중),2020-02-24 9:28
2020-02-24,감염병 발생,동래구,[동래구]동래확진자(부산10)동선(2.20.)12:00삼촌밥런치펍(센텀스카이비즈1층)-18:00센텀가야밀면,2020-02-24 9:29
2020-02-24,감염병 발생,동래구,[동래구]동래확진자(부산10)동선(2.20.)22:19 307번버스(센텀중⇒동래럭키APT),2020-02-24 9:29
2020-02-24,감염병 발생,동래구,[동래구]동래확진자(부산10)동선(2.21.)14:00예람유치원(2.22.)10:00동래구보건소선별진료소,2020-02-24 9:31
2020-02-24,감염병 발생,북구,"[부산북구청] 확진자(부산11)동선 중2.20.구포국수는 덕천동 153국포국수2.21.커피요정,부잣집,공차는 모두 덕천동소재임을 알려드립니다.",2020-02-24 10:56
2020-02-24,감염병 발생,강서구,"[부산 강서구청] 강서구 확진자 2명발생, 구체적 동선파악중, 외출자제 및 개인위생철저, 의심증상 발생시 1339 및 보건소(970-3415)연락바랍니다.",2020-02-24 11:27
2020-02-24,감염병 발생,남구,[남구청]확진자(부산12)동선(2.20) 집>08:17~18:39대연역~연산역)>08:50~18:00아시아드요양병원>18:14~18:52연산역~대연역>집,2020-02-24 11:53
2020-02-24,감염병 발생,연제구,"[연제구]연제확진자(부산-6,82세,여)동선(2.20.목)집,(2.21.금)집,(2.22.토)집,부산대학교병원. 상세 내용 연제구 홈페이지에 별도 공지하겠습니다.",2020-02-24 11:53
2020-02-24,감염병 발생,남구,[남구청]확진자(부산12)동선(2.21) 집>08:21~18:44대연역~연산역>08:50~18:00아시아드요양병원>18:09~18:29연산역~대연역>집.,2020-02-24 11:56
2020-02-24,감염병 발생,남구,[남구청]확진자(부산12)동선(2.22) 집>12:00~13:00남구보건소선별진료소>집  ※동선이동 중 마스크착용확인 및 이송완료,2020-02-24 12:00
2020-02-24,감염병 발생,남구,"[남구청](부산12 확진자) 지하철[대연~수영~연산역]동선(2.20)08:17~08:39, (2.21)08:21~08:44으로 수정",2020-02-24 12:44
2020-02-24,감염병 발생,서구,[서구청]서구 확진자(부산 13) 동선(2.16.~17.) 22:00 MV PC방(사하) - 04:00(17일) 착한멸치국수(사하)-자택,2020-02-24 13:58
2020-02-24,감염병 발생,서구,[서구청] 서구 확진자(부산13) 동선(2.20.~21.) 11:00이대운이비인후과(사하) -12:00 세인약국(사하)-12:30 도담복(사하)-13:30 자택,2020-02-24 13:59
2020-02-24,감염병 발생,서구,[서구청]서구 확진자(부산 13) 동선(2.20.~21) 21:00 크레인피시방(사하)-23:05 리얼야구존(사하) - 01:00(21일) 갓신술집(사하)- 자택,2020-02-24 14:00
2020-02-24,감염병 발생,서구,[서구청] 서구 확진자(부산 13) 동선(2.22.~23.) 11:00 서구 보건소 선별진료소-자택 11:00(23일) 부산의료원 이송,2020-02-24 14:00
2020-02-24,감염병 발생,수영구,[수영구청] 수영구 코로나19 확진자 2명 발생.동선파악중. 외줄자제 및 개인위생 철저. 의심증상 발생 시 1339또는 관할 보건소로 문의하여 주시기 바랍니다.,2020-02-24 14:03
2020-02-24,감염병 발생,기장군,"[기장군청] 코로나19 예방을 위해 손씻기, 마스크 착용 및 발열 기침 증상시 의료기관 방문전 1339 또는 기장군(709-5405, 5406)으로 상담바랍니다.",2020-02-24 14:17
2020-02-24,감염병 발생,영도구,"[영도구청] 부산시 코로나19확진자 증가외출자제, 마스크 착용 및 손씻기 등 개인위생 철저, 의심 증상 발생 시 1339 또는보건소(419 4930~33)문의",2020-02-24 14:27
2020-02-24,감염병 발생,금정구,"[금정구청] 금정구 코로나 확진자 2명 추가발생(누계 3명)동선파악 중. 외출자제,개인위생 철저. 의심증상 발생 시 1339 또는 보건소 문의.재난안전대책본부",2020-02-24 14:31
2020-02-24,감염병 발생,기장군,"[기장군청] 기장군 전체 공공도서관, 아파트 및 마을 작은도서관은 2.21부터 휴관되었음을 알려드립니다.",2020-02-24 14:46
2020-02-24,감염병 발생,금정구,[금정구청]확진자(부산-30) 동선[2.21.]자택>범어사역(07:58)>중앙역>동진선박(08:48)>중앙역청진동해장국>동진선박>해운대팔레드시즈콘도(19:30),2020-02-24 14:47
2020-02-24,감염병 발생,중구,[중구청] 부산-16(금정구확진자2.19동선)집>07:24온천장~부산역>07:59 43번버스>08:00~17:30메리놀병원>17:45중앙~온천장역>자택,2020-02-24 14:47
2020-02-24,감염병 발생,금정구,[금정구청] 확진자(부산-30) 경로[2.22.]해운대 팔레드시즈(10:30)>택시(10:30~10:52)>자택,2020-02-24 14:47
2020-02-24,감염병 발생,중구,[중구청] 부산-16(금정구 확진자 2.20 중구 이동경로)집>07:24~07:50 온천장~부산역>08시 43번버스>08:15~17:30메리놀병원>,2020-02-24 14:48
2020-02-24,감염병 발생,중구,[중구청] 부산-16(금정구 확진자 2.20 중구 이동경로)17:45~18:12중앙역~명륜역>18:05~18:10온천교회>18:10~19:00목화기사식당>자택,2020-02-24 14:49
2020-02-24,감염병 발생,중구,[중구청] 부산-16(금정구 확진자 2.21 중구 이동경로)집>07:24~07:50온천장역~부산역>07:59~08:10 43번버스>08:15~17:30메리놀병원,2020-02-24 14:50
2020-02-24,감염병 발생,중구,[중구청] 부산-16(금정구 확진자 2.21 중구 이동경로)17:45~18:12 중앙역~온천장역>자택,2020-02-24 14:51
2020-02-24,감염병 발생,중구,[중구청] 부산-16(금정구 확진자 2.22 중구 이동경로)자택>11:30~13:00 동래구보건소>자택>보건소부산의료원 이송,2020-02-24 14:54
2020-02-24,감염병 발생,금정구,[금정구청] 금정구 확진자(부산-37) 동선[2.19.] 자택>부산대 금정회관 식당(12:56~13:20)>자택(13:40)>온천교회(20:30)>자택,2020-02-24 15:19
2020-02-24,감염병 발생,금정구,[금정구청] 금정구 확진자(부산-37) 동선[2.20.]자택>부산대 금정회관 식당(12:36)>자택>해피케어복지센터>해모리횟집>자택>부산대J앤J스타일헤어>자가,2020-02-24 15:20
2020-02-24,감염병 발생,금정구,[금정구청] 금정구 확진자(부산-37) 동선[2.21.]자택>부산대 금정회관 식당(12:20)>자택>스타벅스 온천장DT점(13:37) 테이크아웃>자택,2020-02-24 15:20
2020-02-24,감염병 발생,금정구,[금정구청] 확진자(부산-30) 동선 수정알림[2.21.]자택>범어사역(07:58)>중앙역>(중앙동)동진선박(08:48)>중앙역청진동해장국,2020-02-24 16:16
2020-02-24,감염병 발생,금정구,[금정구청] 확진자(부산-30) 동선 (중앙동)동진선박(13:00~18:00)>해운대팔레드시즈콘도(19:30),2020-02-24 16:20
